https://www.ssa.gov/OACT/babynames/decades/names1990s.html
rank,maleName,number,femaleName,number
1,Michael,462383,Jessica,303115
2,Christopher,360241,Ashley,301815
3,Matthew,351643,Emily,237243
4,Joshua,329150,Sarah,224380
5,Jacob,298390,Samantha,224017
6,Nicholas,275311,Amanda,191109
7,Andrew,272895,Brittany,190818
8,Daniel,272308,Elizabeth,172676
9,Tyler,262295,Taylor,169028
10,Joseph,260703,Megan,160365
11,Brandon,259403,Hannah,158804
12,David,253667,Kayla,155889
13,James,244940,Lauren,153581
14,Ryan,241215,Stephanie,149830
15,John,240111,Rachel,149152
16,Zachary,225270,Jennifer,148033
17,Justin,220119,Nicole,136102
18,William,217810,Alexis,131191
19,Anthony,216197,Victoria,117466
20,Robert,205433,Amber,115599
21,Jonathan,197475,Alyssa,115250
22,Austin,190124,Courtney,113280
23,Alexander,183926,Rebecca,109708
24,Kyle,180199,Danielle,109583
25,Kevin,165204,Jasmine,105313
26,Thomas,146608,Brianna,99103
27,Cody,146478,Katherine,96879
28,Jordan,144737,Alexandra,94794
29,Eric,135225,Madison,91903
30,Benjamin,133918,Morgan,91187
31,Aaron,128360,Melissa,89985
32,Christian,126041,Michelle,86523
33,Samuel,125573,Kelsey,85126
34,Dylan,122063,Chelsea,84800
35,Steven,121095,Anna,78573
36,Brian,119285,Kimberly,77879
37,Jose,119020,Tiffany,77532
38,Timothy,107750,Olivia,75902
39,Nathan,107310,Mary,75689
40,Adam,106892,Christina,74656
41,Richard,94862,Allison,74428
42,Patrick,92924,Abigail,72768
43,Charles,92422,Sara,72160
44,Sean,91995,Shelby,71992
45,Jason,91711,Heather,71624
46,Cameron,81128,Haley,71195
47,Jeremy,77791,Maria,70890
48,Mark,75802,Kaitlyn,67565
49,Stephen,75159,Laura,67241
50,Jesse,73791,Erin,65329
51,Juan,70904,Andrea,65237
52,Alex,70819,Natalie,63381
53,Travis,68201,Jordan,61754
54,Jeffrey,66986,Brooke,60627
55,Ethan,66918,Julia,59946
56,Caleb,66282,Emma,58233
57,Luis,64742,Vanessa,57916
58,Jared,63785,Erica,55758
59,Logan,63571,Sydney,55754
60,Hunter,60519,Kelly,55721
61,Trevor,59940,Kristen,53072
62,Bryan,59742,Katelyn,52810
63,Evan,59398,Marissa,51213
64,Paul,58924,Amy,51166
65,Taylor,58398,Crystal,51098
66,Kenneth,58250,Paige,50553
67,Connor,57383,Cassandra,50360
68,Dustin,56767,Gabrielle,49813
69,Noah,56253,Katie,49449
70,Carlos,55164,Caitlin,49037
71,Devin,55066,Lindsey,48973
72,Gabriel,54807,Destiny,48235
73,Ian,53999,Kathryn,47170
74,Nathaniel,52575,Jacqueline,45948
75,Gregory,52083,Shannon,45912
76,Derek,50744,Jenna,45851
77,Corey,50217,Angela,45164
78,Jesus,49116,Savannah,44713
79,Scott,49016,Mariah,44601
80,Bradley,48084,Alexandria,44094
81,Dakota,46648,Sierra,43636
82,Antonio,46540,Alicia,43482
83,Marcus,46481,Briana,42800
84,Blake,45866,Miranda,42221
85,Garrett,45326,Jamie,41445
86,Edward,45165,Catherine,40757
87,Luke,44432,Brittney,40031
88,Shawn,42479,Breanna,40025
89,Peter,42381,Grace,39862
90,Seth,42209,Monica,38885
91,Mitchell,42011,Sabrina,38661
92,Adrian,41975,Madeline,36963
93,Victor,41068,Caroline,36825
94,Miguel,41006,Molly,36557
95,Shane,40596,Erika,35071
96,Chase,40305,Mackenzie,34778
97,Isaac,40264,Leah,34099
98,Spencer,38179,Diana,33773
99,Lucas,38167,Whitney,32886
100,Jack,37484,Cheyenne,31849
101,Tanner,37390,Bailey,31621
102,Angel,36987,Christine,31616
103,Vincent,36706,Meghan,31502
104,Isaiah,36583,Lindsay,31384
105,Dalton,35976,Angelica,31322
106,Brett,35417,Cynthia,31310
107,George,35248,Margaret,31292
108,Alejandro,35168,Kaitlin,30819
109,Elijah,34650,Alexa,30296
110,Cory,34165,Hailey,30293
111,Cole,33859,Veronica,29854
112,Joel,33796,Melanie,29353
113,Erik,33595,Bianca,28556
114,Jake,33102,Autumn,28153
115,Mason,32873,Ariel,28139
116,Jorge,32722,Kristin,27824
117,Dillon,32659,Bethany,27752
118,Raymond,31719,Lisa,27429
119,Colton,30466,Kristina,27244
120,Ricardo,29304,Holly,27072
121,Casey,29247,Leslie,26770
122,Francisco,28718,Casey,25897
123,Brendan,28510,Chloe,25859
124,Devon,28420,April,25772
125,Keith,28373,Julie,25431
126,Colin,28254,Claire,25324
127,Wesley,28245,Kaylee,25210
128,Phillip,27968,Brenda,24928
129,Oscar,27877,Kathleen,24850
130,Julian,27668,Karen,24513
131,Johnathan,27263,Rachael,24513
132,Eduardo,27218,Sophia,24499
133,Chad,27110,Patricia,24122
134,Donald,26754,Gabriela,24082
135,Bryce,26752,Kendra,23970
136,Ronald,26682,Dominique,23648
137,Alec,25907,Ana,23524
138,Dominic,25636,Kara,23517
139,Grant,25459,Desiree,23492
140,Martin,25323,Tara,23369
141,Henry,25237,Michaela,23169
142,Mario,24570,Brandi,22957
143,Xavier,24286,Carly,22790
144,Manuel,24171,Kylie,22730
145,Alan,24089,Karina,22609
146,Derrick,23982,Adriana,22336
147,Frank,23963,Valerie,22009
148,Tristan,23912,Caitlyn,21988
149,Collin,23747,Natasha,21972
150,Omar,23727,Hayley,21857
151,Jeremiah,23649,Rebekah,20926
152,Jackson,23589,Jocelyn,20880
153,Troy,22819,Cassidy,20660
154,Edgar,22205,Jade,20394
155,Javier,22103,Gabriella,20167
156,Douglas,21968,Makayla,20081
157,Clayton,21811,Daisy,19989
158,Jonathon,21429,Alison,19726
159,Nicolas,21218,Jillian,19725
160,Andre,21088,Faith,19529
161,Maxwell,20908,Audrey,19527
162,Ivan,20511,Angel,19501
163,Philip,20456,Nancy,19493
164,Levi,20400,Dana,19280
165,Sergio,20124,Krystal,19076
166,Roberto,20061,Alejandra,19007
167,Darius,19663,Ariana,18861
168,Andres,19635,Summer,18804
169,Cristian,19526,Isabella,18753
170,Hector,19485,Mikayla,18744
171,Fernando,19431,Raven,18504
172,Drew,19328,Katrina,18399
173,Curtis,19204,Kiara,17822
174,Gary,19193,Sandra,17618
175,Riley,18839,Meagan,17106
176,Johnny,18482,Lydia,16983
177,Max,18213,Kirsten,16882
178,Dennis,18101,Chelsey,16837
179,Malik,17950,Zoe,16791
180,Wyatt,17936,Monique,16761
181,Cesar,17841,Claudia,16515
182,Edwin,17475,Mallory,16471
183,Gavin,17275,Joanna,16285
184,Preston,17086,Deanna,16218
185,Marco,17000,Isabel,16103
186,Allen,16950,Ashlee,15978
187,Ruben,16929,Felicia,15643
188,Calvin,16860,Marisa,15535
189,Mathew,16798,Mercedes,15291
190,Randy,16781,Mckenzie,15284
191,Brent,16625,Jasmin,15235
192,Jerry,16577,Krista,15213
193,Hayden,16347,Yesenia,15174
194,Alexis,16264,Diamond,15160
195,Parker,16235,Evelyn,15124
196,Brady,16230,Selena,15041
197,Tony,16136,Cindy,15040
198,Pedro,16128,Brandy,14908
199,Craig,16108,Gina,14880
200,Larry,15943,Mia,14626
